"id,state,county,rate"
"01101,Alabama,Montgomery County,326"
"06085,California,Santa Clara County,188"
"25025,Massachusetts,Suffolk County,177"
"11001,District of Columbia,District of Columbia,174"
"06001,California,Alameda County,166"
"09007,Connecticut,Middlesex County,163"
"20003,Kansas,Anderson County,151"
"06037,California,Los Angeles County,122"
"01063,Alabama,Greene County,119"
"17043,Illinois,DuPage County,110"
"35001,New Mexico,Bernalillo County,97"
"35043,New Mexico,Sandoval County,97"
"13145,Georgia,Harris County,78"
"48157,Texas,Fort Bend County,77"
"24033,Maryland,Prince George's County,69"
"13075,Georgia,Cook County,68"
"05139,Arkansas,Union County,67"
"04013,Arizona,Maricopa County,62"
"18035,Indiana,Delaware County,56"
"27053,Minnesota,Hennepin County,56"
"01073,Alabama,Jefferson County,56"
"05007,Arkansas,Benton County,55"
"06073,California,San Diego County,53"
"06059,California,Orange County,52"
"17095,Illinois,Knox County,50"
"42003,Pennsylvania,Allegheny County,47"
"12047,Florida,Hamilton County,45"
"06083,California,Santa Barbara County,45"
"24003,Maryland,Anne Arundel County,44"
"36061,New York,New York County,44"
"27003,Minnesota,Anoka County,43"
"27019,Minnesota,Carver County,43"
"39025,Ohio,Clermont County,43"
"37183,North Carolina,Wake County,43"
"05061,Arkansas,Howard County,40"
"08013,Colorado,Boulder County,38"
"42017,Pennsylvania,Bucks County,36"
"36109,New York,Tompkins County,35"
"36001,New York,Albany County,34"
"51059,Virginia,Fairfax County,34"
"42101,Pennsylvania,Philadelphia County,34"
"06081,California,San Mateo County,34"
"10003,Delaware,New Castle County,32"
"12001,Florida,Alachua County,30"
"24005,Maryland,Baltimore County,30"
"39035,Ohio,Cuyahoga County,30"
"51107,Virginia,Loudoun County,30"
"26161,Michigan,Washtenaw County,29"
"24510,Maryland,Baltimore city,28"
"48269,Texas,King County,28"
"17131,Illinois,Mercer County,28"
"55025,Wisconsin,Dane County,27"
"17019,Illinois,Champaign County,26"
"13067,Georgia,Cobb County,26"
"01049,Alabama,DeKalb County,26"
"01059,Alabama,Franklin County,26"
"05049,Arkansas,Fulton County,26"
"48209,Texas,Hays County,26"
"53035,Washington,Kitsap County,25"
"45025,South Carolina,Chesterfield County,24"
"37057,North Carolina,Davidson County,24"
"51075,Virginia,Goochland County,24"
"51087,Virginia,Henrico County,24"
"36083,New York,Rensselaer County,24"
"48453,Texas,Travis County,24"
"17199,Illinois,Williamson County,24"
"25009,Massachusetts,Essex County,23"
"42077,Pennsylvania,Lehigh County,23"
"12073,Florida,Leon County,22"
"01129,Alabama,Washington County,22"
"06113,California,Yolo County,22"
"51013,Virginia,Arlington County,21"
"01047,Alabama,Dallas County,21"
"19169,Iowa,Story County,21"
"01099,Alabama,Monroe County,20"
"36093,New York,Schenectady County,20"
"12009,Florida,Brevard County,19"
"04019,Arizona,Pima County,19"
"08117,Colorado,Summit County,19"
"24047,Maryland,Worcester County,19"
"25015,Massachusetts,Hampshire County,16"
"36119,New York,Westchester County,16"
"08005,Colorado,Arapahoe County,15"
"54061,West Virginia,Monongalia County,15"
"08001,Colorado,Adams County,14"
"31109,Nebraska,Lancaster County,14"
"25021,Massachusetts,Norfolk County,14"
"05009,Arkansas,Boone County,13"
"48085,Texas,Collin County,13"
"37063,North Carolina,Durham County,13"
"36029,New York,Erie County,13"
"37131,North Carolina,Northampton County,13"
"48439,Texas,Tarrant County,13"
"24025,Maryland,Harford County,12"
"09009,Connecticut,New Haven County,12"
"04023,Arizona,Santa Cruz County,12"
"24021,Maryland,Frederick County,11"
"34019,New Jersey,Hunterdon County,11"
"17197,Illinois,Will County,11"
"23031,Maine,York County,11"
"16019,Idaho,Bonneville County,10"
"48121,Texas,Denton County,10"
"08035,Colorado,Douglas County,10"
"22033,Louisiana,East Baton Rouge Parish,10"
"12057,Florida,Hillsborough County,10"
"01089,Alabama,Madison County,10"
"34025,New Jersey,Monmouth County,10"
"12086,Florida,Miami-Dade County,9"
"01107,Alabama,Pickens County,9"
"44007,Rhode Island,Providence County,9"
"06065,California,Riverside County,9"
"09013,Connecticut,Tolland County,9"
"01125,Alabama,Tuscaloosa County,9"
"51003,Virginia,Albemarle County,8"
"48029,Texas,Bexar County,8"
"41005,Oregon,Clackamas County,8"
"48091,Texas,Comal County,8"
"06013,California,Contra Costa County,8"
"08041,Colorado,El Paso County,8"
"26099,Michigan,Macomb County,8"
"49035,Utah,Salt Lake County,8"
"18141,Indiana,St. Joseph County,8"
"17175,Illinois,Stark County,8"
"45003,South Carolina,Aiken County,7"
"01027,Alabama,Clay County,7"
"01071,Alabama,Jackson County,7"
"22051,Louisiana,Jefferson Parish,7"
"20119,Kansas,Meade County,7"
"41051,Oregon,Multnomah County,7"
"26125,Michigan,Oakland County,7"
"22071,Louisiana,Orleans Parish,7"
"27113,Minnesota,Pennington County,7"
"29165,Missouri,Platte County,7"
"23025,Maine,Somerset County,7"
"13301,Georgia,Warren County,7"
"04005,Arizona,Coconino County,6"
"51095,Virginia,James City County,6"
"01117,Alabama,Shelby County,6"
"12005,Florida,Bay County,5"
"09001,Connecticut,Fairfield County,5"
"45083,South Carolina,Spartanburg County,5"
"06111,California,Ventura County,5"
"32031,Nevada,Washoe County,5"
"34001,New Jersey,Atlantic County,4"
"48039,Texas,Brazoria County,4"
"05019,Arkansas,Clark County,4"
"05025,Arkansas,Cleveland County,4"
"15003,Hawaii,Honolulu County,4"
"05071,Arkansas,Johnson County,4"
"55079,Wisconsin,Milwaukee County,4"
"20127,Kansas,Morris County,4"
"51153,Virginia,Prince William County,4"
"06067,California,Sacramento County,4"
"49049,Utah,Utah County,4"
"08123,Colorado,Weld County,4"
"40037,Oklahoma,Creek County,3"
"36027,New York,Dutchess County,3"
"34015,New Jersey,Gloucester County,3"
"13135,Georgia,Gwinnett County,3"
"06029,California,Kern County,3"
"20101,Kansas,Lane County,3"
"01081,Alabama,Lee County,3"
"45063,South Carolina,Lexington County,3"
"48303,Texas,Lubbock County,3"
"40109,Oklahoma,Oklahoma County,3"
"20139,Kansas,Osage County,3"
"17159,Illinois,Richland County,3"
"33017,New Hampshire,Strafford County,3"
"40143,Oklahoma,Tulsa County,3"
"13305,Georgia,Wayne County,3"
"39173,Ohio,Wood County,3"
"16001,Idaho,Ada County,2"
"36007,New York,Broome County,2"
"01013,Alabama,Butler County,2"
"21037,Kentucky,Campbell County,2"
"17017,Illinois,Cass County,2"
"42029,Pennsylvania,Chester County,2"
"50007,Vermont,Chittenden County,2"
"28035,Mississippi,Forrest County,2"
"45045,South Carolina,Greenville County,2"
"37081,North Carolina,Guilford County,2"
"09003,Connecticut,Hartford County,2"
"34017,New Jersey,Hudson County,2"
"06047,California,Merced County,2"
"12089,Florida,Nassau County,2"
"09011,Connecticut,New London County,2"
"16071,Idaho,Oneida County,2"
"17143,Illinois,Peoria County,2"
"12103,Florida,Pinellas County,2"
"19149,Iowa,Plymouth County,2"
"39133,Ohio,Portage County,2"
"05119,Arkansas,Pulaski County,2"
"37161,North Carolina,Rutherford County,2"
"31153,Nebraska,Sarpy County,2"
"08115,Colorado,Sedgwick County,2"
"12117,Florida,Seminole County,2"
"27137,Minnesota,St. Louis County,2"
"17179,Illinois,Tazewell County,2"
"18167,Indiana,Vigo County,2"
"04025,Arizona,Yavapai County,2"
"25001,Massachusetts,Barnstable County,1"
"45015,South Carolina,Berkeley County,1"
"51023,Virginia,Botetourt County,1"
"24015,Maryland,Cecil County,1"
"45019,South Carolina,Charleston County,1"
"17035,Illinois,Cumberland County,1"
"42043,Pennsylvania,Dauphin County,1"
"35013,New Mexico,Dona Ana County,1"
"24019,Maryland,Dorchester County,1"
"26045,Michigan,Eaton County,1"
"55035,Wisconsin,Eau Claire County,1"
"48135,Texas,Ector County,1"
"48167,Texas,Galveston County,1"
"35023,New Mexico,Hidalgo County,1"
"26065,Michigan,Ingham County,1"
"39093,Ohio,Lorain County,1"
"39099,Ohio,Mahoning County,1"
"30063,Montana,Missoula County,1"
"06053,California,Monterey County,1"
"12091,Florida,Okaloosa County,1"
"20143,Kansas,Ottawa County,1"
"12099,Florida,Palm Beach County,1"
"06061,California,Placer County,1"
"51161,Virginia,Roanoke County,1"
"36087,New York,Rockland County,1"
"06071,California,San Bernardino County,1"
"06079,California,San Luis Obispo County,1"
"17167,Illinois,Sangamon County,1"
"36091,New York,Saratoga County,1"
"20183,Kansas,Smith County,1"
"06095,California,Solano County,1"
"06097,California,Sonoma County,1"
"53063,Washington,Spokane County,1"
"51177,Virginia,Spotsylvania County,1"
"01115,Alabama,St. Clair County,1"
"18163,Indiana,Vanderburgh County,1"
"55133,Wisconsin,Waukesha County,1"
